"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"articles","a","","","","","","","un, una, unas, unos","",""
"articles","the","","","","","","","el2, la, las, los","",""
