word,word_count,mean_sent_length,final_count,solo_count
Volvo,22.0,3.36363636364,10.0,2.0
tejpen,18.0,8.11111111111,4.0,0.0
ankor,8.0,1.75,6.0,4.0
sova,210.0,6.92380952381,72.0,0.0
fick+lampa,4.0,5.5,2.0,0.0
kött+färs+sås,6.0,4.33333333333,4.0,0.0
möblerna,4.0,6.0,4.0,0.0
fisken,30.0,6.4,10.0,0.0
skott+kärra,34.0,7.05882352941,20.0,4.0
Majsan,4.0,4.0,4.0,2.0
kisse+katterna,2.0,5.0,2.0,0.0
kasett+bandet,2.0,4.0,2.0,0.0
klämmerna,2.0,3.0,2.0,0.0
Uggla,26.0,6.0,20.0,0.0
genom,78.0,8.96153846154,0.0,0.0
runt+om,2.0,13.0,2.0,0.0
hö+lass,2.0,4.0,2.0,0.0
vit+hunden,12.0,9.0,6.0,0.0
aporna,2.0,4.0,0.0,0.0
ru,60.0,4.4,48.0,0.0
Gustav,16.0,5.25,2.0,2.0
rr,2.0,2.0,2.0,0.0
kossa,47.0,4.57446808511,27.0,4.0
ry,2.0,8.0,0.0,0.0
tjup,1.0,2.0,1.0,0.0
smm,2.0,6.0,0.0,0.0
tjur,11.0,3.90909090909,10.0,0.0
ra,6.0,7.66666666667,2.0,0.0
veken,2.0,9.0,0.0,0.0
tjuv,18.0,4.55555555556,16.0,0.0
skopan,14.0,7.71428571429,4.0,0.0
mjölk+mustascher,2.0,2.0,2.0,0.0
ro,2.0,10.0,0.0,0.0
ri,6.0,11.0,0.0,0.0
jättejättelänge,1.0,8.0,1.0,0.0
myslin,2.0,21.0,0.0,0.0
Kode,2.0,2.0,2.0,0.0
traktorna,2.0,9.0,0.0,0.0
transport+bil,2.0,1.0,2.0,2.0
båra,2.0,10.0,0.0,0.0
flingor,6.0,5.66666666667,2.0,0.0
rätt,226.0,6.5,94.0,0.0
toking,2.0,4.0,2.0,0.0
nämen,269.0,2.27137546468,189.0,185.0
kniv,40.0,8.05,28.0,4.0
dubbel+knut,2.0,6.0,2.0,0.0
dugg,24.0,12.3333333333,4.0,0.0
kanin+ungarna,2.0,4.0,2.0,0.0
kjolen,1.0,12.0,1.0,0.0
att,2996.0,10.6585447263,29.0,0.0
kock,2.0,2.0,2.0,0.0
mjölet,2.0,4.0,0.0,0.0
ryttarn,2.0,6.0,0.0,0.0
res+väskan,2.0,2.0,2.0,0.0
spilta,2.0,4.0,2.0,0.0
affärer,2.0,8.0,2.0,0.0
flytt+buss,2.0,12.0,0.0,0.0
sköljer,2.0,5.0,0.0,0.0
ente,20.0,5.1,6.0,0.0
spräckli,2.0,9.0,0.0,0.0
lego,76.0,6.23684210526,34.0,2.0
underlit,2.0,5.0,0.0,0.0
stack,8.0,7.5,0.0,0.0
slarvat,2.0,6.0,0.0,0.0
slarvar,2.0,4.0,0.0,0.0
skedar,8.0,6.0,4.0,2.0
slarvax,2.0,10.0,0.0,0.0
läbbi,2.0,6.0,0.0,0.0
hårets,2.0,10.0,0.0,0.0
päron,19.0,5.31578947368,8.0,2.0
klossarna,8.0,7.0,2.0,0.0
mån+dagar,4.0,4.0,2.0,0.0
blött,8.0,7.75,4.0,0.0
paket,196.0,6.70408163265,112.0,4.0
Kalle,148.0,6.67567567568,18.0,4.0
tyckte,326.0,7.66257668712,2.0,0.0
såhåhåja,2.0,1.0,2.0,2.0
skåp+dörren,4.0,7.0,0.0,0.0
varje,46.0,10.1304347826,2.0,0.0
Gnutta,10.0,3.8,6.0,0.0
peppar+kakor,10.0,9.4,8.0,2.0
klister+märkena,2.0,5.0,0.0,0.0
låd+bil,2.0,4.0,2.0,0.0
dricker,158.0,6.12658227848,10.0,0.0
färg+lådan,2.0,8.0,0.0,0.0
sågs,1.0,6.0,1.0,0.0
jätte+glad,14.0,4.57142857143,12.0,0.0
för+skola,6.0,9.33333333333,2.0,0.0
händerna,124.0,6.29838709677,67.0,2.0
klänningar,2.0,5.0,0.0,0.0
skaffa,2.0,15.0,0.0,0.0
promenaden,2.0,8.0,0.0,0.0
gräv+maskin,18.0,5.55555555556,16.0,0.0
himlen,10.0,11.6,4.0,0.0
fölla,20.0,5.9,0.0,0.0
Lynn,14.0,5.0,4.0,0.0
kloss,6.0,4.33333333333,2.0,0.0
zebran,13.0,4.76923076923,8.0,2.0
nej,431.0,5.72853828306,104.0,84.0
eftersom,12.0,12.8333333333,0.0,0.0
annars,216.0,9.83796296296,23.0,0.0
dromedaren,2.0,15.0,0.0,0.0
krocket,4.0,2.0,2.0,2.0
dockorna,3.0,9.33333333333,0.0,0.0
maja,2.0,9.0,0.0,0.0
Disney_klubben,2.0,4.0,2.0,0.0
ost+biten,2.0,6.0,2.0,0.0
dumma,51.0,5.72549019608,4.0,0.0
vovvar,6.0,7.0,6.0,0.0
ungar,16.0,11.25,6.0,0.0
dicker,4.0,8.5,0.0,0.0
låssas,108.0,7.55555555556,18.0,0.0
jahahå,2.0,1.0,2.0,2.0
tackar,8.0,1.25,8.0,6.0
pris,4.0,13.5,0.0,0.0
älskling,14.0,4.71428571429,12.0,2.0
badar,152.0,6.46710526316,35.0,0.0
frukter,22.0,7.18181818182,6.0,2.0
teater,6.0,9.0,6.0,0.0
badat,30.0,8.0,10.0,0.0
stänker,4.0,6.0,2.0,0.0
buss,70.0,7.57142857143,40.0,0.0
badax,14.0,9.14285714286,0.0,0.0
nannar,2.0,3.0,2.0,0.0
busi,42.0,5.42857142857,12.0,0.0
burar,2.0,2.0,2.0,0.0
busa,2.0,6.0,0.0,0.0
salva,6.0,9.33333333333,2.0,0.0
pippi+fåglar,2.0,3.0,2.0,0.0
