"lexical_class","uni_lemma","valence","arousal","dominance"
"nouns","camera",6.61,3.05,6.39
"other","camping",6.09,5.5,6.32
"verbs","can",6.41,3.14,6.44
"function_words","can (auxiliary)",NA,NA,NA
"other","can (auxiliary)",NA,NA,NA
"nouns","can (object)",NA,NA,NA
"nouns","candle",6.14,3.81,6.08
"nouns","candy",7.27,5.03,6.46
"nouns","cap",5,3.27,5.57
"nouns","car",6.63,4.04,6.41
"adjectives","careful",6.32,2.95,5.83
"adverbs","carefully",6.32,2.95,5.83
"nouns","carpet",5.95,2.77,5.1
"nouns","carrots",5.79,3.91,6.37
"verbs","carry",5.67,3.47,4.94
"nouns","cat",6.95,4.5,5.48
"verbs","catch",5.64,4,5.47
"other","caw",4.32,3.55,5.4
"nouns","cereal",6.45,3.05,5.77
"nouns","chair",5.89,2.86,5.28
"nouns","chalk",5,2.9,5.48
"verbs","chase",3.77,6.6,4.68
"nouns","cheek",5.9,3.47,5.38
"adverbs","cheerfully",NA,NA,NA
"nouns","cheerios",6.45,3.05,5.77
"nouns","cheese",6.81,3.8,7.11
"nouns","chick",5.86,4.04,5.32
"nouns","chicken (animal)",6.17,3.2,5.22
"nouns","chicken (food)",6.17,3.2,5.22
"other","child",7.2,5.33,5.2
"other","child's own name",NA,NA,NA
"other","children",6.36,5.09,5.95
"nouns","chili",4.45,4.62,6.3
"nouns","chin",5.07,3.84,5.48
"nouns","chips",NA,NA,NA
"nouns","chocolate",7.63,5.14,5.88
"other","choo choo",6.36,4.05,5.72
"nouns","church",5.21,3.63,5.04
"other","church",5.21,3.63,5.04
"nouns","cigarette",3,4,5.05
"other","circus",5.85,5.45,4.94
"other","city",6.12,5.08,5.04
"other","clap",6.05,5.15,6.19
"verbs","clap",6.05,5.15,6.19
"verbs","clean (action)",7.09,3.57,6.11
"adjectives","clean (description)",7.09,3.57,6.11
"adverbs","cleanly",7.09,3.57,6.11
"nouns","clementine",6.15,3.91,5.56
"other","click",5.7,2.81,5.52
"verbs","climb",5.62,3.95,5.61
"nouns","clock",5.65,3.35,5.24
"other","clop clop",6.05,4.16,5.71
"verbs","close",5.23,3.81,5.94
"adjectives","closed (description)",5.23,3.81,5.94
"nouns","closet",5.1,3.55,6.63
"nouns","cloth",6.2,2.58,5.4
"nouns","clothes",6.77,3.14,5.47
"nouns","cloud",6.2,2.81,4.79
"nouns","clouds",6.76,2.27,5.09
"nouns","clown",5.36,4.94,4.38
"other","clown",5.36,4.94,4.38
"other","cluck",4.75,3.9,4.81
"nouns","coat",5.29,3.1,6.68
"other","cockadoodledoo",5.53,4.57,5.09
"nouns","coffee",7,5.1,6.12
"nouns","coke",6.55,4.3,5.53
"adjectives","cold",4.32,3.55,5.17
"adverbs","coldly",4.32,3.55,5.17
"verbs","collect",5.9,3.14,5.48
"verbs","comb (action)",5.65,2.33,6.68
"nouns","comb (object)",5.65,2.33,6.68
"verbs","come",5.64,3.57,5.94
"other","come on",5.64,3.57,5.94
"nouns","compote",6.9,4.6,5.74
