"iconicity","babiness","uni_lemma","lexical_class"
0.571429,2.35294,"refrigerator","nouns"
NA,NA,"rocking chair","nouns"
0.5,3.16667,"sink","nouns"
1.46154,2.09091,"stairs","nouns"
-0.3,1.1,"stove","nouns"
-0.125,3.92857,"table","nouns"
1.09091,2.5,"tv","nouns"
-0.833333,3,"window","nouns"
0.117647,8.91667,"blanket","nouns"
0.5,9.6,"bottle","nouns"
1.5,4.4,"bowl","nouns"
0.5625,1.94118,"box","nouns"
0.571429,1.21429,"broom","nouns"
NA,NA,"brush","nouns"
0.611111,3.3,"clock","nouns"
-0.0666667,3.875,"comb (object)","nouns"
1.53846,3.36364,"cup","nouns"
0.75,3.54545,"dish","nouns"
0.818182,1.70588,"fork","nouns"
0.8,3.08333,"glass","nouns"
0.416667,1.1,"glasses","nouns"
1.38462,4.9,"hammer","nouns"
0.9375,3.36364,"keys","nouns"
0.0714286,2.38462,"lamp","nouns"
0.9,3.7,"light","nouns"
1.27273,3.27273,"medicine","nouns"
-0.6,4.8,"money","nouns"
0.416667,2.83333,"paper","nouns"
-0.2,1,"penny","nouns"
-0.0714286,5.3,"picture","nouns"
0.466667,3.88889,"pillow","nouns"
-0.2,2.2,"plant","nouns"
0.928571,3.1,"plate","nouns"
-1.63636,1.4,"purse","nouns"
0.583333,1.8,"radio","nouns"
1.75,1.2,"scissors","nouns"
0.214286,4.9,"soap","nouns"
0.3,6.9,"spoon","nouns"
NA,NA,"telephone","nouns"
1.72727,2.3,"toothbrush","nouns"
-0.235294,5.4,"towel","nouns"
0.7,1.72727,"trash","nouns"
0.1,2,"vacuum","nouns"
NA,NA,"watch (object)","nouns"
-0.272727,2.6,"yard","nouns"
-0.214286,3,"beach","nouns"
0.0769231,2.53846,"church","nouns"
-0.0833333,2.7,"flower","nouns"
-0.1875,3.26667,"garden","nouns"
2,5.23077,"home","nouns"
0.454545,3.16667,"house","nouns"
0.1,2.66667,"moon","nouns"
NA,NA,"outside","nouns"
0.384615,5.14286,"park","nouns"
1.92308,5.83333,"party","nouns"
0.3,1.66667,"pool","nouns"
0.333333,2.16667,"rain","nouns"
1.27273,3.36842,"rock","nouns"
-0.214286,3.78571,"school","nouns"
1.2,2,"shovel","nouns"
0,2.41667,"sky","nouns"
NA,NA,"slide (object)","nouns"
0.25,1.44444,"snow","nouns"
1.58333,3.63636,"star","nouns"
-0.875,3.75,"store","nouns"
-0.0909091,2.58824,"sun","nouns"
NA,NA,"swing (object)","nouns"
-0.923077,3.36364,"tree","nouns"
NA,NA,"water (not beverage)","nouns"
NA,NA,"work (place)","nouns"
1.53846,3.72727,"zoo","nouns"
0.2,6.7,"aunt","other"
2.23077,10,"baby","other"
NA,NA,"babysitter","other"
NA,NA,"babysitter's name","other"
1.7,7.92308,"boy","other"
0.4,5.3,"brother","other"
0.933333,8.61538,"child","other"
1.42857,9,"daddy","other"
0.636364,5.72727,"girl","other"
NA,NA,"grandma","other"
NA,NA,"grandpa","other"
-0.0769231,4.07692,"lady","other"
0.647059,3,"man","other"
1.4,8.45455,"mommy","other"
NA,NA,"child's own name","other"
0.6,3.92308,"people","other"
-0.2,6,"person","other"
0.533333,7.1,"sister","other"
0.9375,2.9,"teacher","other"
0.166667,5.22222,"uncle","other"
NA,NA,"bath","other"
0.916667,4.7,"breakfast","other"
1.58333,3.63636,"bye","other"
0.263158,4.18182,"dinner","other"
NA,NA,"don't","other"
2.1,4.5,"hello","other"
0.8,5.18182,"hi","other"
0.5,4.7,"lunch","other"
1.27273,8.5,"nap","other"
NA,NA,"good night","other"
2.8125,5.30769,"no","other"
NA,NA,"pattycake","other"
1.8,8.54545,"peekaboo","other"
0.6,3,"please","other"
3.5625,7.45455,"shh","other"
1.41667,2.75,"thank you","other"
-0.5,4.3,"wait","other"
NA,NA,"wanna","other"
2.25,4.25,"yes","other"
2,3.61538,"bite","verbs"
1.36364,2.5,"blow","verbs"
2.9,4.7,"break","verbs"
0.133333,3.1,"bring","verbs"
3.36364,7.36364,"bump","verbs"
NA,NA,"clean (action)","verbs"
-0.125,5.61538,"close","verbs"
0.866667,8,"cry","verbs"
0.153846,3.54545,"dance","verbs"
0.2,3.3,"draw","verbs"
NA,NA,"drink (action)","verbs"
0.230769,2.4,"drive","verbs"
0.647059,6.1,"eat","verbs"
1.53333,4.18182,"fall","verbs"
0.8,6.2,"feed","verbs"
0.181818,1.09091,"finish","verbs"
-0.583333,3.625,"get","verbs"
1.27273,3.5,"give","verbs"
1.45455,2.9,"go","verbs"
1.53333,5.83333,"help","verbs"
1,2.85714,"hit","verbs"
2,7.7,"hug","verbs"
0.75,2.72727,"hurry","verbs"
1,3.6,"jump","verbs"
1.95,5.92857,"kick","verbs"
1.25,6.46667,"kiss","verbs"
1.81818,3.25,"look","verbs"
1.125,8.33333,"love","verbs"
1.1,2.78947,"open","verbs"
1.08333,8.90909,"play","verbs"
2.08333,3.10526,"pull","verbs"
2.33333,4.14286,"push","verbs"
1.23077,1.3,"put","verbs"
0.0909091,4.63636,"read","verbs"
1.16667,2.7,"ride","verbs"
0.909091,2,"run","verbs"
0.8,3.9,"say","verbs"
1.27273,5.18182,"see","verbs"
0.846154,3.30769,"show","verbs"
1.7,6.1875,"sing","verbs"
0.769231,7.72727,"sleep","verbs"
1.72727,5.63636,"smile","verbs"
3.5,3.0625,"splash","verbs"
2.5,2.77778,"stop","verbs"
1,2.5,"swim","verbs"
