word,mean,median,var,count
has_to,-0.386696087218,-0.598995214804,0.33956332148,4
go,-0.249348892647,-0.256831601647,0.103408580762,23
up,-0.226080995254,-0.100297467157,0.0954809304174,23
see,-0.217668442354,-0.131052686935,0.174702410786,23
like,-0.212199963411,-0.198289289343,0.133221907655,23
get,-0.21198290993,-0.126593926187,0.0857877497683,23
right,-0.206125851257,-0.0946677862183,0.136952156892,23
want,-0.196091920689,-0.117013512534,0.102443301069,23
put,-0.194711161552,-0.0839148230591,0.0961050931668,23
too,-0.19326159378,-0.13940715594,0.122693006688,23
going,-0.189941553858,-0.146918976046,0.100305703724,23
just,-0.184814722666,-0.27554008579,0.133050721832,23
out,-0.160864586217,-0.109492395066,0.0822362414601,23
know,-0.155895712307,-0.0888464434017,0.153709399231,23
back,-0.143164470307,-0.0650115925854,0.0746147541649,23
hmm,-0.139948407497,-0.214644587722,0.0485743886187,7
good,-0.132231686567,-0.08258836504,0.140191124226,23
think,-0.127169932834,-0.0981069341922,0.12786608237,23
come,-0.113798951059,-0.0657586794508,0.0839154317503,23
take,-0.109454962018,-0.104540303089,0.0975616444351,23
look,-0.105516306723,-0.0190347881501,0.119564556678,23
have_to,-0.0991591768846,-0.0631630631071,0.105090554906,23
leave,-0.096075216325,-0.062721066482,0.103606282063,23
sorry,-0.0880935995966,-0.106607554985,0.105927789686,23
keep,-0.0850294227848,-0.0867385344977,0.100589594909,23
very,-0.0739064430541,-0.107495479297,0.135957797999,23
anywhere,-0.0736446945373,-0.27901269819,0.311071851794,22
again,-0.0714180661707,-0.0282779595482,0.133416658349,23
why,-0.0672949336875,-0.0198188137074,0.0875265739515,23
better,-0.0641998357808,-0.039081696727,0.0656439527607,23
getting,-0.06063863317,-0.0424934866014,0.0891593056758,23
yet,-0.0594986803564,-0.0257513786928,0.17618806979,23
let's,-0.0539370358131,0.119669289335,0.113023301197,23
thing,-0.0519396388773,-0.11671005105,0.0927792773272,23
yourself,-0.0505202998615,-0.0573011534181,0.112515254928,23
give,-0.0457198617192,-0.0560950285947,0.0961521987248,23
you'll,-0.042771205633,-0.0327020053041,0.0818315967068,23
nice,-0.0410185697197,0.0377427239931,0.113882348482,23
we'll,-0.0405212156356,-0.0388842342012,0.111287360915,23
well,-0.0390870721458,-0.0147978542205,0.133801378349,23
need,-0.0386556673965,-0.0532805827116,0.0848254478419,23
sure,-0.0286001686086,-0.032058605781,0.132099494262,23
help,-0.0277331861579,-0.0346172511795,0.0819696924783,23
able,-0.0248755879585,-0.0724095490589,0.146251463667,23
time,-0.0204732477079,-0.00194902015085,0.0625170473909,23
mommy,-0.0199135290008,-0.0323670906461,0.103797631066,10
stay,-0.0195996867428,-0.0443198596865,0.0850932026106,23
big,-0.0171756293412,0.105083701075,0.128234457122,23
floor,-0.0108546500204,-0.0553435850899,0.114459089499,23
away,-0.00937215717627,-0.0322995461889,0.120105447275,23
as_well,-0.00909704200904,-0.0478694326307,0.0931438898764,16
doing,-0.00903564262278,0.0726509226955,0.140352844882,23
done,-0.008720547989,0.094287315739,0.121091001414,23
suppose,-0.0065061379026,-0.179502897911,0.396181942748,22
it'll,-0.0020710911935,-0.0716387122651,0.186840531069,23
say,-0.00201384223257,0.0165984156348,0.12404489058,23
hey,-0.00149018921545,-0.0565940151086,0.248557398249,23
ah,-0.00146966856014,0.103281005587,0.0773112844171,8
bit,0.00081875366563,-0.0333811761164,0.139095630174,23
bring,0.00689276721207,-0.0894297904913,0.161019203071,23
careful,0.0073099730483,-0.0130344107546,0.154472099329,23
only,0.00873172744452,0.0486690146429,0.101025653327,23
looking,0.0129432733063,0.0814241791972,0.109524985524,23
tell,0.0183208508857,0.0412949265279,0.15751209218,23
accident,0.019193404261,0.0607827364736,0.429299735544,22
minute,0.0194846041993,0.0283008134742,0.141443821137,23
alright,0.019813509314,-0.0261669804085,0.115292162953,18
whoop,0.0214093341939,0.016715181219,0.151537358189,23
these,0.0298899241867,0.0216059217959,0.1371161547,23
&uh,0.0323404093893,0.00207662159401,0.276920220367,11
left,0.0332063401825,-0.045314472367,0.209783246323,23
silly,0.0342373872251,-0.0266877295524,0.162032043809,23
shouldn't,0.0352296968852,-0.105281975535,0.374228230613,22
&hmm,0.0362215028596,0.0494676389077,0.0577303207107,16
even,0.0366703546709,-0.0325141161701,0.229023664831,23
way,0.0369016454528,0.0516820812797,0.116853435187,23
probably,0.0369922923494,0.0333307465425,0.19669654031,23
together,0.0381064486045,0.0300976845384,0.157716259774,23
either,0.040067541931,0.0224530084105,0.163503025395,23
always,0.0429591354412,0.21395739271,0.271454744501,23
gosh,0.0432502636408,0.0666614908669,0.323115350552,21
try,0.0459157989099,-0.0270544531105,0.183386656816,23
annoying,0.0474793847053,0.132528345377,0.235485707337,10
trying,0.0475240763125,0.026169169134,0.216530374379,23
funny,0.0500324096934,0.071188137378,0.186906727641,23
aren't,0.0504160999357,0.0890359923961,0.154717471371,23
found,0.0529515180672,0.110210180673,0.153483323272,23
room,0.0530920341465,-0.0294420141281,0.201483878698,23
wait,0.0541918049495,0.00309628148598,0.189609380031,23
did,0.0587229823238,0.188380783642,0.176951500765,23
