ID_CDI_II;ID_CDI_I;Word_NW;Word_CDI;Translation;Homonymous;In_NW;Word_class;Lex_cat;Broad_lex;Imageability;Phon_neighbours;Phonemes;Syllables
i_15_57;i_18_32;'tørst';'tørst';'thirsty';n;y;adjective;descriptive words;predicates;5,05;6;4;1
i_7_27;i_10_17;'ei tå';'tå';'toe';n;y;noun;common nouns;nominals;6,6;34;2;1
i_2_41;i_5_34;'ei ugle';'ugle';'owl';n;y;noun;common nouns;nominals;6,52;11;4;2
i_2_42;#N/A;'en ulv';'ulv';'wolf';n;y;noun;common nouns;nominals;6,71;8;3;1
i_6_29;#N/A;'ei underbukse';'underbukse';'underpants';n;y;noun;common nouns;nominals;6,6;3;9;4
i_5_66;#N/A;'en vaffel';'vafler';'waffles';n;y;noun;common nouns;nominals;6,9;5;5;2
i_2_43;i_5_35;'en valp';'valp';'puppy';n;y;noun;common nouns;nominals;6,73;11;4;1
i_5_67;i_8_28;'vann';'vann';'water';n;y;noun;common nouns;nominals;6,56;35;3;1
i_10_29;#N/A;'en vannslange';'vannslange';'hose';n;y;noun;places to go;nominals;6,57;3;8;3
i_15_61;i_18_34;'varm';'varm';'hot';n;y;adjective;descriptive words;predicates;5,21;14;4;1
i_14_98;i_17_51;'å vaske';'vaske';'wash';n;y;verb;action words;predicates;6,21;24;5;2
i_9_33;#N/A;'en vaskemaskin';'vaskemaskin';'washing machine';n;y;noun;common nouns;nominals;6,97;0;10;4
i_10_30;#N/A;'en vei';'vei';'street';n;y;noun;places to go;nominals;6,43;25;2;1
i_14_102;#N/A;'å velte';'velte';'overturn';n;y;verb;action words;predicates;5,45;28;5;2
i_12_35;#N/A;'en venn';'venn';'friend';n;y;noun;people;nominals;5,63;32;3;1
i_14_99;#N/A;'å vente';'vente';'wait';n;y;verb;action words;predicates;5,61;25;5;2
i_2_44;i_5_36;'en veps';'veps';'wasp';n;y;noun;common nouns;nominals;6,71;2;4;1
i_8_50;#N/A;'ei veske';'veske';'bag';n;y;noun;common nouns;nominals;6,29;16;5;2
i_21_22;#N/A;'å ville';'ville';'would';n;y;verb;closed-class items;closed-class;3,22;37;4;2
i_10_31;#N/A;'vind';'vind';'wind';n;y;noun;places to go;nominals;5,69;9;4;1
i_9_34;i_12_23;'et vindu';'vindu';'window';n;y;noun;common nouns;nominals;6,41;4;5;2
i_14_101;i_17_52;'å vise';'vise';'show';n;y;verb;action words;predicates;4,27;27;4;2
i_15_63;i_18_36;vond';'vondt';'painful';n;y;adjective;descriptive words;predicates;4,2;10;3;1
i_6_30;i_9_20;'en vott';'votter';'mittens';n;y;noun;common nouns;nominals;6,77;27;3;1
i_21_19;#N/A;'å være';'være';'be';n;y;verb;closed-class items;closed-class;3,12;24;4;2
i_15_60;#N/A;'våken';'våken';'awake';n;y;adjective;descriptive words;predicates;5,57;13;5;2
i_14_104;#N/A;'å våkne';'våkne';'wake';n;y;verb;action words;predicates;5,49;9;5;2
i_15_62;i_18_35;'våt';'våt';'wet';n;y;adjective;descriptive words;predicates;5,84;24;3;1
i_5_68;#N/A;'yoghurt';'yoghurt';'yogurt';n;y;noun;common nouns;nominals;6,76;0;5;2
i_15_31;i_18_17;'ødelagt';'ødelagt';'broken';n;y;adjective;descriptive words;predicates;4,96;2;7;3
i_14_105;i_17_31;'å ødelegge';'ødelegge';'break';n;y;verb;action words;predicates;5,61;4;7;4
i_14_106;#N/A;'å ønske';'ønske';'wish';n;y;verb;action words;predicates;3,42;7;5;2
i_7_18;i_10_15;'et øre (kroppsdel)';'øre';'ear';n;y;noun;common nouns;nominals;6,65;28;4;2
i_7_19;i_10_16;'et øye';'øye';'eye';n;y;noun;common nouns;nominals;6,71;19;2;2
i_14_107;i_17_53;'å åpne';'åpne';'open';n;y;verb;action words;predicates;6,23;6;4;2
