word,word_count,mean_sent_length,final_count,solo_count
croste,1.0,3.0,1.0,0.0
re,6.0,5.66666666667,4.0,1.0
ra,3.0,4.33333333333,3.0,1.0
ro,3.0,7.33333333333,2.0,0.0
ri,2.0,7.5,0.0,0.0
sma,1.0,6.0,1.0,0.0
silenziosa,1.0,11.0,1.0,0.0
Aleessandro,1.0,21.0,0.0,0.0
rientra,1.0,27.0,0.0,0.0
stampini,1.0,29.0,0.0,0.0
siediti,16.0,6.6875,3.0,2.0
chiari,1.0,5.0,0.0,0.0
sorso,1.0,5.0,0.0,0.0
chiaro,3.0,3.33333333333,2.0,0.0
lucina,1.0,8.0,0.0,0.0
lucine,2.0,4.5,1.0,0.0
chiare,1.0,4.0,1.0,0.0
querce,2.0,17.5,0.0,0.0
pennarello,1.0,7.0,1.0,0.0
pennarelli,9.0,5.55555555556,4.0,1.0
orecchini,7.0,5.71428571429,4.0,0.0
bigliettai,1.0,5.0,0.0,0.0
avrebbe,2.0,8.5,0.0,0.0
wash,1.0,10.0,0.0,0.0
giuro,2.0,19.0,0.0,0.0
tiella,1.0,4.0,0.0,0.0
sbatteva,1.0,29.0,0.0,0.0
birilli,2.0,8.0,1.0,0.0
Sonia,7.0,10.7142857143,3.0,0.0
lego,4.0,5.75,2.0,0.0
lega,1.0,11.0,0.0,0.0
ronf,4.0,8.5,1.0,0.0
ragione,26.0,9.30769230769,6.0,0.0
dirgli,1.0,6.0,0.0,0.0
ragiona,1.0,19.0,1.0,0.0
ganza,1.0,2.0,1.0,0.0
gilelo,1.0,3.0,0.0,0.0
ganzo,3.0,8.66666666667,0.0,0.0
sbatacchiala,1.0,5.0,0.0,0.0
lampadario,2.0,3.0,2.0,0.0
autista,3.0,4.0,3.0,0.0
dirmi,2.0,11.5,0.0,0.0
nzu,3.0,3.0,1.0,0.0
mercato,4.0,6.0,2.0,0.0
ancora,216.0,6.33796296296,72.0,21.0
fctf,1.0,1.0,1.0,1.0
ritrovati,1.0,10.0,0.0,0.0
ritrovato,2.0,11.0,0.0,0.0
corno,1.0,21.0,1.0,0.0
esta,5.0,6.8,0.0,0.0
sacco,9.0,14.1111111111,2.0,0.0
apro,27.0,4.7037037037,14.0,5.0
apri,103.0,5.76699029126,24.0,6.0
esti,1.0,7.0,0.0,0.0
Angela,1.0,4.0,1.0,0.0
cannocchiale,5.0,4.8,4.0,1.0
detersivo,2.0,11.5,0.0,0.0
spiaggia,5.0,11.6,1.0,0.0
pallida,2.0,4.5,1.0,0.0
quakquak,2.0,1.0,2.0,2.0
saltato,2.0,10.0,0.0,0.0
collanina,1.0,5.0,1.0,0.0
macché,8.0,4.25,3.0,1.0
saltata,1.0,7.0,0.0,0.0
pappagalli,1.0,16.0,0.0,0.0
saltate,1.0,4.0,0.0,0.0
cespuglio,8.0,5.875,5.0,0.0
Bani,4.0,4.0,2.0,0.0
Guglielmo,78.0,6.74358974359,36.0,7.0
carrello,5.0,6.2,2.0,0.0
erano,91.0,8.93406593407,13.0,0.0
gufetto,3.0,9.0,1.0,0.0
tipo,6.0,10.0,2.0,0.0
Sofia,1.0,8.0,0.0,0.0
adoperale,1.0,3.0,1.0,0.0
sogliolina,1.0,4.0,1.0,0.0
vicino,55.0,7.74545454545,12.0,2.0
vicini,2.0,7.0,0.0,0.0
sentivi,1.0,11.0,1.0,0.0
vicine,1.0,21.0,0.0,0.0
vicina,6.0,14.0,1.0,0.0
sentiva,1.0,13.0,0.0,0.0
macello,8.0,7.0,6.0,0.0
pallate,1.0,4.0,1.0,0.0
stritolo,1.0,5.0,0.0,0.0
spezzetta,1.0,7.0,0.0,0.0
semaforo,4.0,8.25,2.0,0.0
badaa,1.0,1.0,1.0,1.0
meno,22.0,6.95454545455,4.0,0.0
dolore,2.0,5.5,2.0,0.0
dolori,1.0,16.0,0.0,0.0
compra',5.0,19.6,1.0,0.0
casettina,2.0,13.0,1.0,0.0
abbocca,1.0,5.0,1.0,0.0
piscinetta,1.0,2.0,1.0,0.0
intorno,3.0,11.6666666667,0.0,0.0
spillina,3.0,3.33333333333,3.0,0.0
smettila,6.0,6.33333333333,1.0,0.0
spillino,2.0,6.5,2.0,0.0
Rin,1.0,6.0,0.0,0.0
aamm,1.0,10.0,1.0,0.0
perbene,1.0,10.0,0.0,0.0
imbarca,1.0,10.0,0.0,0.0
traverso,4.0,11.0,0.0,0.0
colletto,2.0,9.5,0.0,0.0
ectà,1.0,13.0,0.0,0.0
comprata,3.0,5.66666666667,1.0,0.0
comprate,3.0,9.0,0.0,0.0
ecti',1.0,13.0,1.0,0.0
cambiagli,1.0,6.0,0.0,0.0
comprati,4.0,8.25,1.0,0.0
comprato,21.0,9.14285714286,6.0,0.0
pirati,2.0,3.0,2.0,0.0
yogurt,5.0,3.8,3.0,0.0
ringa,1.0,4.0,1.0,0.0
suciolo,2.0,6.0,1.0,1.0
natura,1.0,10.0,0.0,0.0
rappresenta,1.0,4.0,1.0,0.0
videro,3.0,11.0,1.0,0.0
fetta,5.0,7.8,1.0,0.0
fette,1.0,17.0,0.0,0.0
chiudessi,1.0,38.0,0.0,0.0
Veronica,12.0,3.58333333333,11.0,1.0
questa,1136.0,6.66901408451,299.0,36.0
braccialetto,3.0,6.66666666667,1.0,0.0
questo,2506.0,6.18116520351,825.0,142.0
questi,500.0,6.918,122.0,12.0
Laura,3.0,10.6666666667,1.0,0.0
rumorose,1.0,12.0,0.0,0.0
barchetta,8.0,10.875,3.0,0.0
sacchetto,7.0,4.85714285714,5.0,0.0
barchette,1.0,13.0,0.0,0.0
incastriamo,1.0,1.0,1.0,1.0
tutututó,1.0,11.0,0.0,0.0
sposta,5.0,15.8,0.0,0.0
vaii,1.0,1.0,1.0,1.0
sculaccioni,5.0,12.2,3.0,0.0
Sansomino,1.0,2.0,1.0,0.0
matta,2.0,4.5,1.0,0.0
matto,4.0,8.5,1.0,0.0
lattuga,2.0,10.5,1.0,0.0
cuccioletto,3.0,4.33333333333,1.0,0.0
fra,8.0,14.375,0.0,0.0
cuccioletti,1.0,2.0,1.0,0.0
racchette,1.0,10.0,1.0,0.0
fri,1.0,6.0,1.0,0.0
ciucciare,1.0,9.0,0.0,0.0
tentazione,1.0,16.0,0.0,0.0
spegnere,1.0,4.0,1.0,0.0
mangiarli,2.0,8.0,1.0,0.0
parlagli,4.0,17.75,1.0,0.0
spia,2.0,11.0,0.0,0.0
Zago,2.0,9.0,1.0,0.0
dava,6.0,10.0,1.0,0.0
mignolo,3.0,6.33333333333,1.0,0.0
spocca,1.0,5.0,0.0,0.0
gonfiata,1.0,28.0,0.0,0.0
Lulù,1.0,12.0,0.0,0.0
Lattanzi,1.0,8.0,1.0,0.0
quaggiù,11.0,7.27272727273,3.0,0.0
vederlo,6.0,7.83333333333,4.0,0.0
avrei,2.0,8.5,0.0,0.0
sdraina,2.0,8.0,2.0,0.0
attraverso,1.0,12.0,0.0,0.0
lavorano,1.0,10.0,0.0,0.0
risca,1.0,4.0,0.0,0.0
gonfiato,1.0,28.0,0.0,0.0
bim,1.0,3.0,1.0,0.0
bruttissima,1.0,5.0,1.0,0.0
tzh,1.0,4.0,0.0,0.0
bruttissimo,2.0,3.5,2.0,0.0
bruttissimi,1.0,2.0,1.0,0.0
ogni,15.0,11.0,0.0,0.0
entura,1.0,2.0,0.0,0.0
economici,1.0,4.0,1.0,0.0
picchiarlo,1.0,4.0,0.0,0.0
pettinino,2.0,8.5,1.0,0.0
sgonfiata,1.0,5.0,1.0,0.0
piedone,1.0,3.0,1.0,0.0
pianga,1.0,4.0,0.0,0.0
memoria,2.0,11.0,1.0,0.0
entrarci,1.0,17.0,0.0,0.0
piedoni,2.0,6.0,1.0,0.0
topo,24.0,5.83333333333,14.0,0.0
ladri,1.0,3.0,1.0,0.0
topi,5.0,8.2,3.0,0.0
aprirà,1.0,3.0,1.0,0.0
tirava,3.0,9.0,0.0,0.0
impacciano,1.0,4.0,0.0,0.0
Pierino,3.0,10.6666666667,1.0,1.0
lasciarli,1.0,3.0,1.0,0.0
lasciarlo,2.0,8.5,1.0,0.0
occhioni,2.0,4.5,2.0,0.0
olà,6.0,4.16666666667,2.0,1.0
olè,1.0,4.0,0.0,0.0
l'olio,1.0,10.0,0.0,0.0
mattonelle,1.0,9.0,0.0,0.0
incendia,1.0,8.0,0.0,0.0
hai,1585.0,7.25047318612,56.0,0.0
terrazzo,9.0,7.0,5.0,0.0
han,8.0,8.125,0.0,0.0
vescio,1.0,7.0,1.0,0.0
haa,1.0,4.0,1.0,0.0
terrazza,2.0,9.0,1.0,0.0
tiriamo,3.0,10.0,0.0,0.0
rimette,8.0,11.375,1.0,0.0
arriccia,1.0,4.0,0.0,0.0
ghiaccio,5.0,5.4,3.0,0.0
ghiaccia,12.0,3.91666666667,6.0,0.0
presero,1.0,23.0,0.0,0.0
mongolfiera,1.0,2.0,1.0,0.0
Emilia,3.0,9.0,2.0,0.0
chicchirichi,1.0,1.0,1.0,1.0
Claudia,18.0,5.38888888889,11.0,0.0
specie,4.0,7.0,1.0,0.0
promette,1.0,8.0,0.0,0.0
svizzere,1.0,7.0,0.0,0.0
chic'è,1.0,7.0,1.0,0.0
ola,1.0,1.0,1.0,1.0
lassó,7.0,7.85714285714,1.0,0.0
lassù,6.0,4.83333333333,4.0,1.0
camaleonte,23.0,5.91304347826,15.0,0.0
animati,1.0,6.0,0.0,0.0
vato,1.0,6.0,1.0,0.0
leggerlo,2.0,4.0,1.0,0.0
operarla,1.0,17.0,0.0,0.0
serpenti,1.0,8.0,0.0,0.0
serpente,9.0,4.77777777778,5.0,2.0
ristretto,1.0,13.0,0.0,0.0
vagante,1.0,12.0,0.0,0.0
umh,8.0,7.375,1.0,1.0
preoccupati,1.0,4.0,0.0,0.0
preoccupato,1.0,4.0,0.0,0.0
nessun,1.0,16.0,0.0,0.0
sfuggire,1.0,11.0,0.0,0.0
quelllo,1.0,3.0,1.0,0.0
braccio,54.0,6.88888888889,22.0,0.0
braccia,12.0,11.75,4.0,0.0
puppole,1.0,17.0,0.0,0.0
spaventa,4.0,13.75,1.0,0.0
Valentina,4.0,4.5,2.0,0.0
spaventi,1.0,8.0,0.0,0.0
o,440.0,6.73409090909,11.0,2.0
uccide,3.0,4.33333333333,1.0,0.0
contala,1.0,4.0,0.0,0.0
scossa,2.0,13.0,2.0,0.0
contale,12.0,5.0,4.0,2.0
sot,1.0,1.0,1.0,1.0
