word,word_count,mean_sent_length,final_count,solo_count
güeno,2.0,4.0,1.0,0.0
Larrañaga,1.0,2.0,1.0,0.0
güena,6.0,6.83333333333,2.0,1.0
sacarme,2.0,13.0,0.0,0.0
descolgó,2.0,11.5,1.0,0.0
me'taea,1.0,2.0,0.0,0.0
fió,1.0,8.0,0.0,0.0
decídelle,1.0,8.0,0.0,0.0
venticinco,1.0,11.0,0.0,0.0
espatllat,1.0,10.0,0.0,0.0
amaillo,2.0,1.5,2.0,1.0
cines,1.0,1.0,1.0,1.0
goles,16.0,7.5,10.0,0.0
murcielago,8.0,7.875,4.0,0.0
leelo,6.0,4.16666666667,2.0,0.0
cofre,46.0,6.71739130435,18.0,0.0
llegar,56.0,12.0892857143,7.0,0.0
Cuzco,1.0,1.0,1.0,1.0
ármalo,4.0,3.5,1.0,0.0
tirame,1.0,4.0,0.0,0.0
pastorcita,5.0,6.6,1.0,0.0
escucharte,3.0,6.0,2.0,0.0
duérmelo,24.0,3.29166666667,13.0,4.0
dímelos,2.0,8.0,0.0,0.0
calladita,8.0,9.625,2.0,0.0
plátanos,72.0,5.48611111111,46.0,13.0
Gandía,1.0,3.0,1.0,0.0
mostrar+se+las,1.0,8.0,0.0,0.0
disgustado,1.0,3.0,1.0,0.0
ocito,1.0,4.0,1.0,0.0
puelta,4.0,6.0,2.0,0.0
préstaselas,1.0,13.0,0.0,0.0
escaladores,1.0,2.0,1.0,0.0
romperlos,1.0,18.0,0.0,0.0
aaaahhh,1.0,1.0,1.0,1.0
sonreían,1.0,3.0,0.0,0.0
cisterna,3.0,16.6666666667,0.0,0.0
fereixen,1.0,7.0,1.0,0.0
í,8.0,6.5,3.0,1.0
chipirones,3.0,5.33333333333,1.0,0.0
deshiciste,1.0,5.0,0.0,0.0
meterías,1.0,8.0,0.0,0.0
Papa_Noeles,2.0,6.0,1.0,0.0
olliños,2.0,5.0,1.0,0.0
curarles,1.0,10.0,1.0,0.0
animado,1.0,6.0,0.0,0.0
larguísimo,2.0,2.0,2.0,1.0
rayitas,6.0,6.0,2.0,1.0
Bella_y_la_Bestia,1.0,5.0,1.0,0.0
estornudos,2.0,3.0,0.0,0.0
Blancamievez,1.0,1.0,1.0,1.0
vidre,1.0,4.0,1.0,0.0
longa,1.0,13.0,0.0,0.0
Blancamieves,13.0,9.30769230769,7.0,3.0
pacientes,1.0,7.0,0.0,0.0
afición,5.0,12.0,1.0,0.0
sitio,418.0,8.57655502392,221.0,0.0
tuga,2.0,3.5,1.0,1.0
mazana,4.0,1.75,3.0,1.0
cántaslle,1.0,5.0,0.0,0.0
Fusca,1.0,7.0,1.0,0.0
Sori_Stori,1.0,2.0,1.0,0.0
mi+amor,55.0,3.98181818182,55.0,2.0
amiguiño,1.0,9.0,0.0,0.0
entlal,1.0,16.0,1.0,0.0
entlan,1.0,8.0,0.0,0.0
acordábamos,3.0,7.33333333333,2.0,0.0
blblbl,1.0,7.0,0.0,0.0
Pandora,1.0,4.0,1.0,0.0
chispas,2.0,6.5,2.0,0.0
entlar,1.0,8.0,1.0,0.0
cánsanse,1.0,4.0,0.0,0.0
majo,6.0,8.33333333333,3.0,0.0
hiato,1.0,9.0,1.0,0.0
maja,19.0,7.47368421053,14.0,1.0
ollos,14.0,5.92857142857,5.0,0.0
colifloro,1.0,1.0,1.0,1.0
descalzos,1.0,3.0,1.0,0.0
haría,11.0,6.90909090909,3.0,0.0
explícanos,1.0,7.0,0.0,0.0
El_libro_de_la_selva,5.0,10.2,4.0,0.0
teca,1.0,5.0,0.0,0.0
sentádesvos,1.0,20.0,0.0,0.0
martillar,3.0,8.66666666667,3.0,0.0
condesa,1.0,6.0,1.0,0.0
trompa,51.0,7.37254901961,26.0,0.0
mostraron,17.0,12.7058823529,0.0,0.0
estais,14.0,11.0,1.0,0.0
idéntico,1.0,16.0,0.0,0.0
tobús,7.0,2.14285714286,7.0,0.0
martillan,1.0,15.0,0.0,0.0
hínchalo,3.0,1.66666666667,2.0,1.0
hembra,2.0,5.5,0.0,0.0
pomi,3.0,2.33333333333,2.0,0.0
rico,442.0,5.00904977376,260.0,4.0
irá,25.0,7.76,2.0,0.0
cuála,3.0,8.0,0.0,0.0
rica,175.0,6.28,75.0,0.0
distéis,1.0,8.0,1.0,0.0
téndemos,1.0,6.0,0.0,0.0
plata,8.0,6.875,3.0,0.0
últimas,10.0,4.1,7.0,0.0
plato,270.0,7.18518518519,144.0,6.0
plats,1.0,5.0,0.0,0.0
sentar+nos,1.0,4.0,1.0,0.0
jaguar,2.0,3.5,2.0,0.0
compras,56.0,8.46428571429,19.0,0.0
comprar,362.0,9.00276243094,85.0,0.0
compran,15.0,9.73333333333,7.0,0.0
dimelos,1.0,7.0,0.0,0.0
murmullo,1.0,3.0,1.0,0.0
policias,7.0,9.57142857143,2.0,0.0
sueños,8.0,8.875,6.0,0.0
Nicolás,17.0,7.05882352941,8.0,0.0
osita,15.0,7.13333333333,8.0,0.0
mexilóns,5.0,2.4,4.0,3.0
Gonzalín,17.0,8.17647058824,5.0,0.0
osito,294.0,6.08843537415,170.0,4.0
pinos,6.0,6.33333333333,2.0,0.0
musicales,3.0,7.66666666667,3.0,0.0
pitón,2.0,6.5,1.0,0.0
madriña,4.0,5.5,3.0,0.0
radiocassete,1.0,47.0,0.0,0.0
cordones,10.0,6.5,7.0,1.0
Carúpano,2.0,8.0,1.0,0.0
durmino,1.0,4.0,1.0,0.0
blancas,20.0,8.95,13.0,5.0
ire,1.0,6.0,0.0,0.0
extiendes,1.0,28.0,0.0,0.0
atrapalló,1.0,25.0,1.0,0.0
desenlace,4.0,6.5,3.0,0.0
contarnoslo,1.0,5.0,0.0,0.0
montaña,78.0,8.30769230769,37.0,1.0
desenladrillador,2.0,8.0,0.0,0.0
extienden,1.0,12.0,0.0,0.0
escaramujo,1.0,1.0,1.0,1.0
sirco,1.0,9.0,0.0,0.0
encajan,4.0,3.25,2.0,1.0
Laura,100.0,6.67,39.0,7.0
llámales,4.0,5.25,1.0,0.0
Curri_Curri,1.0,4.0,1.0,0.0
encajas,2.0,5.5,2.0,0.0
encajar,7.0,8.0,3.0,0.0
coreografía,1.0,8.0,0.0,0.0
pasteles,46.0,5.4347826087,28.0,5.0
remolque,15.0,8.53333333333,7.0,0.0
psicólogo,2.0,7.0,1.0,0.0
felicidad,5.0,4.6,4.0,0.0
trataba,13.0,6.30769230769,4.0,0.0
psicóloga,1.0,2.0,1.0,0.0
pueco,1.0,3.0,0.0,0.0
assun,1.0,6.0,0.0,0.0
oígame,1.0,7.0,0.0,0.0
guiñado,1.0,17.0,0.0,0.0
fre,1.0,10.0,0.0,0.0
colchón,13.0,7.84615384615,6.0,0.0
fri,1.0,3.0,1.0,0.0
much,2.0,7.0,0.0,0.0
pastores,7.0,5.28571428571,6.0,2.0
filmas,2.0,6.0,2.0,0.0
diabloso,2.0,4.0,1.0,0.0
purqué,1.0,8.0,0.0,0.0
mesitas,4.0,9.25,2.0,0.0
papasito,1.0,2.0,1.0,0.0
tenias,23.0,7.17391304348,3.0,0.0
mirarían,2.0,6.0,0.0,0.0
apoyaremos,1.0,9.0,0.0,0.0
dave,1.0,1.0,1.0,1.0
atasco,6.0,3.0,5.0,1.0
ya+ya,2.0,9.0,1.0,0.0
pisotón,1.0,12.0,0.0,0.0
medida,1.0,9.0,1.0,0.0
patiños,1.0,10.0,1.0,0.0
toca,899.0,7.7575083426,225.0,8.0
desta,5.0,8.2,1.0,0.0
unos,508.0,8.80708661417,15.0,3.0
deste,19.0,9.05263157895,1.0,0.0
hormigaz,1.0,7.0,1.0,0.0
juegan,117.0,5.88888888889,48.0,4.0
carteros,2.0,3.5,1.0,0.0
unoz,3.0,4.0,0.0,0.0
hormigas,17.0,5.23529411765,10.0,1.0
asitus,1.0,4.0,0.0,0.0
juegar,1.0,7.0,0.0,0.0
juegas,280.0,6.95357142857,72.0,2.0
saltábamos,3.0,10.0,0.0,0.0
enganchado,35.0,6.82857142857,10.0,1.0
sentaste,4.0,9.0,0.0,0.0
hileritas,1.0,7.0,0.0,0.0
chiscaron,1.0,4.0,0.0,0.0
pónles,1.0,6.0,0.0,0.0
frágiles,1.0,4.0,0.0,0.0
suelito,1.0,2.0,1.0,0.0
registradora,5.0,6.6,4.0,0.0
marches,1.0,15.0,0.0,0.0
agarrar,43.0,7.20930232558,15.0,0.0
