word,word_count,mean_sent_length,final_count,solo_count
rodnusha,1.0,2.0,1.0,0.0
penechki,1.0,8.0,0.0,0.0
ispol'zuesh',1.0,8.0,0.0,0.0
sobachka,23.0,4.86956521739,11.0,2.0
daughter,1.0,10.0,1.0,0.0
masha,2.0,3.5,1.0,1.0
prognal,1.0,3.0,0.0,0.0
sluchilos',27.0,4.74074074074,16.0,0.0
k,32.0,8.4375,0.0,0.0
lozhechkoj,1.0,1.0,1.0,1.0
skazhu,3.0,7.33333333333,0.0,0.0
skazhi,46.0,6.17391304348,8.0,0.0
reka,2.0,7.0,0.0,0.0
ugolochkax,5.0,8.4,2.0,0.0
tvorozhok,1.0,3.0,1.0,0.0
vybrosit',2.0,8.5,1.0,0.0
tureckij,1.0,3.0,0.0,0.0
cheshetsja,1.0,3.0,0.0,0.0
sprashivaju,1.0,11.0,0.0,0.0
zeljonye,1.0,3.0,1.0,0.0
tufel'ku,2.0,6.0,1.0,0.0
porezal,2.0,13.0,0.0,0.0
gribochki,1.0,3.0,0.0,0.0
razdeten'kij,1.0,5.0,1.0,0.0
pridu,2.0,7.0,1.0,0.0
prigodjatsja,1.0,16.0,1.0,0.0
prodam,4.0,6.5,3.0,0.0
ob'jasnit',1.0,9.0,0.0,0.0
postuchi,7.0,2.42857142857,4.0,0.0
koshel'ka,1.0,19.0,0.0,0.0
pompony,1.0,1.0,1.0,1.0
proischodit,1.0,4.0,1.0,0.0
kolgotochki,2.0,10.5,1.0,0.0
voznagrazhdaet,1.0,8.0,0.0,0.0
kogda+nibud',2.0,4.5,0.0,0.0
pititat',2.0,2.0,1.0,1.0
soldat,1.0,7.0,0.0,0.0
kartofel'nyj,1.0,3.0,0.0,0.0
bespokojsja,1.0,13.0,0.0,0.0
rozhdenija,10.0,8.5,6.0,0.0
travku,4.0,5.0,1.0,0.0
verevochkoj,1.0,15.0,1.0,0.0
gryzla,1.0,4.0,0.0,0.0
dopivaesh',1.0,3.0,1.0,0.0
terpelivoj,1.0,7.0,0.0,0.0
pospit,1.0,6.0,1.0,0.0
perebiraem,1.0,5.0,0.0,0.0
privet,1.0,8.0,1.0,0.0
ili,91.0,6.12087912088,0.0,0.0
teplen'kij,1.0,3.0,1.0,0.0
bezobrazie,2.0,3.5,1.0,1.0
bezobraznica,1.0,3.0,1.0,0.0
obratno,6.0,5.33333333333,2.0,0.0
malen'kuju,7.0,4.14285714286,1.0,0.0
goloj,1.0,6.0,0.0,0.0
davno,2.0,8.0,0.0,0.0
kolbasy,1.0,9.0,0.0,0.0
xrju+x'ru,1.0,1.0,1.0,1.0
skazochnogo,2.0,3.5,1.0,0.0
sdelala,20.0,7.55,11.0,0.0
stol'ko,6.0,5.83333333333,1.0,0.0
baljalju,1.0,6.0,0.0,0.0
kakiju+nibud',1.0,7.0,0.0,0.0
subbotu,3.0,4.66666666667,1.0,0.0
nigde,1.0,4.0,0.0,0.0
koletsja,1.0,22.0,0.0,0.0
sdelali,2.0,5.0,1.0,0.0
æti,11.0,9.45454545455,0.0,0.0
razvjazalsja,1.0,12.0,0.0,0.0
