"крокодил","krokodil","krokodil'chik","krokodil'chikov","krokodila","krokodily",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"курица","kurice","kuricu","kurochka","kurochki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"лев","lev",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"лиса","lisa","lisenka","lisichka","lisjata","lisjatki","lisjatochki","lisoj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"лошадь","loshad'","loshadej","loshadi","loshadka","loshadkax","loshadke","loshadki","loshadkoj","loshadku","loshadok",,,,,,,,,,,,,,,,,,,,,,,,,,
"лягушка","kvakushka","ljagushka","ljagushke","ljagushki","ljagushku","kosichku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"медведь","medved'","medvedja","medvedju","medvezhonka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"муха","mux","muxa","muxi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"мышка","myshek","myshka","myshke","myshki","myshkoj","myshomok","myshonka","myshonkom","myshonok",,,,,,,,,,,,,,,,,,,,,,,,,,,
"обезьяна","obes'jana","obez'jana","obez'jane","obez'janka","obez'janke","obez'janki","obez'jankin","obez'jankoj","obez'janku","obez'janu","obez'jany",,,,,,,,,,,,,,,,,,,,,,,,,
"овечка","ovechka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ослик","oslik","oslika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"петух","petushka","petushok","petuxa","petuxom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"поросенок","porosenka","porosenke","porosenkov","porosenok","porosjat","porosjata","porosjonok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"птичка","ptica","ptichek","ptichka","ptichki","ptichkiny","ptichku","ptici","pticu",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"рыбка","ryb","ryba","rybka","rybki","rybkov","rybku","rybu","ryby",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"свинка","svinjusha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"слон","slon","slona","slonik","slonika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"собака","sobachek","sobachka","sobachkam","sobachke","sobachki","sobachkina","sobachkoj","sobachku","sobak","sobaka","sobake","sobaki","sobakina","sobakoj","sobaku","dog","dogo","doginy",,,,,,,,,,,,,,,,,,
"сова","sova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"тигр","tigr","tigra","tigry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"утка","utjata","utjatki","utka","utkiny","utku","utochka","utochke","utochki","utochku",,,,,,,,,,,,,,,,,,,,,,,,,,,
"цыпленок","cypljatki","cypljonok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"черепаха","cherepaxa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"автобус","avtobus","trollejbuse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"велосипед","velosiped","velosipede","siped","sipede","sipedik","sipedike",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"вертолет","vertolet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"грузовик","gruzovika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"коляска","koljaska","koljaskbe","koljaske","koljaskoj","koljasku","koljasochke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"кораблик","korablik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"машина","mashin","mashina","mashine","mashinka","mashinke","mashinu","mashiny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"паровоз","paravozik","parovozik","parovozike",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"поезд","poezd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"самолет","samolete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"санки","sankax","sanke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"трактор","traktor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"альбом","al'bom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ведро","vedryshko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"грабли","grabli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"игрушка","igrushek","igrushka","igrushkami","igrushki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"карандаш","karandash","karandasha","karandashik","karandashikom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"кисточка","kistochka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"клей","kleem","klej","kleja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"книга","knig","kniga","knige","knigi","knigu","knishka","knishku","knizhechka","knizhechku","knizhek","knizhka","knizhkami","knizhke","knizhki","knizhku","knizsku",,,,,,,,,,,,,,,,,,,,
"краски","kraski",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"кубики","kubik","kubika","kubiki","kubikov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"кукла","kukla","kuklam","kukle","kukloj","kuklu","kukly","kukol","kukolka","kukolkam","kukolki","kukolkoj",,,,,,,,,,,,,,,,,,,,,,,,,
"лопатка","lopatka","lopatku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"мозаика/пазл","mozaika","mozaiku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"мяч","mjachik","mjachikami","mjachikom","mjachom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"песенка","pesenku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"пластилин","plastelin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ручка","ruchek","ruchka","ruchkami","ruchkax","ruchke","ruchki","ruchkoj","ruchku",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"совок","sovochek","sovochkom","sovok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"сказка","skazku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"фломастер","flomaster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"формочка","formochka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"фотографии","fotografii","fotografija","fotografijami","fotografiu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
