item,mlu
dolce,6.46808510638
mucca,6.02325581395
bicicletta,9.07746478873
braccio,8.01769911504
pasta,6.32
pannolino,4.33333333333
buonanotte/buongiorno,1.76923076923
specchio,9.88888888889
rotto,6.29567307692
luna,5.29411764706
tappeto,8.33333333333
rosso,7.30057803468
passeggino,5.0
barca,6.675
pulcino,7.15384615385
cappotto,17.0
forbici,6.0
altro/un altro,8.26362038664
bagno,8.46774193548
seggiolone,5.55555555556
papà,7.52608695652
bere,7.12121212121
bua,8.02
niente,7.39583333333
freddo,7.44545454545
coltello,4.52380952381
levare/togliere,7.23357664234
divano,9.6862745098
patate,1.0
duro,5.7619047619
orso,8.90909090909
lavandino,8.875
nero,7.19101123596
maiale,5.40909090909
mutande,6.33333333333
asino,6.5
mosca,4.52631578947
ragazzo/a,8.72071885974
papera,6.29230769231
no,6.0086100861
formaggio,6.23529411765
tardi,12.95
giù,6.48529411765
pappa,7.01627906977
morbido,6.15384615385
soffiare,4.4
giocattolo,5.76470588235
tappo,6.47916666667
non c'èpiù/più,8.15764705882
ombrello,7.67391304348
terra,8.96629213483
scivolo,5.73529411765
scimmia,6.9
acqua,8.53623188406
vasino,8.88888888889
gelato,7.33783783784
altalena,7.58823529412
mettere,7.82516611296
domani,8.77551020408
occhiali,8.42372881356
naso,7.78504672897
coccodè,6.22222222222
