word,word_count,mean_sent_length,final_count,solo_count
dedu,12.0,5.75,5.0,0.0
milicajci,1.0,6.0,1.0,0.0
nogica,13.0,4.69230769231,10.0,1.0
tutkice,1.0,1.0,1.0,1.0
kamionu,5.0,5.4,4.0,1.0
nese,1.0,5.0,0.0,0.0
gugija,1.0,2.0,0.0,0.0
nađemo,9.0,7.55555555556,4.0,0.0
zanimljivije,1.0,3.0,1.0,0.0
pikila,2.0,7.0,1.0,0.0
prouzročio,1.0,9.0,0.0,0.0
no,37.0,5.08108108108,13.0,4.0
izvadila,2.0,4.5,1.0,0.0
majkičica,2.0,9.0,0.0,0.0
potekla,1.0,6.0,0.0,0.0
sačuvaj,1.0,3.0,1.0,0.0
nogici,4.0,4.5,4.0,0.0
dječju,1.0,15.0,0.0,0.0
poslušamo,3.0,7.0,2.0,0.0
trkaći,2.0,8.5,1.0,1.0
igraju,28.0,8.53571428571,8.0,0.0
kilu,7.0,6.14285714286,1.0,0.0
mazao,1.0,5.0,1.0,0.0
mihaela,2.0,4.0,1.0,0.0
jurim,1.0,2.0,1.0,0.0
kila,5.0,3.6,1.0,0.0
peraja,1.0,5.0,1.0,0.0
namjerno,8.0,4.625,6.0,1.0
vesna,15.0,4.2,8.0,0.0
odledi,1.0,8.0,0.0,0.0
lete,8.0,6.0,2.0,0.0
leti,68.0,4.64705882353,30.0,0.0
gospođe,3.0,6.66666666667,1.0,0.0
hhhmmm,1.0,1.0,1.0,1.0
proslavu,1.0,9.0,0.0,0.0
prenisko,2.0,8.5,1.0,0.0
narugala,2.0,9.5,0.0,0.0
majmunčić,7.0,9.71428571429,0.0,0.0
čistiti,5.0,6.2,3.0,0.0
pričati,43.0,6.74418604651,30.0,0.0
šetali,2.0,16.5,1.0,0.0
jastukom,1.0,6.0,1.0,0.0
sušilo,1.0,13.0,0.0,0.0
šetala,1.0,22.0,0.0,0.0
komadu,1.0,7.0,1.0,0.0
dohvati,16.0,6.5,2.0,0.0
stigavši,1.0,11.0,0.0,0.0
prastara,1.0,3.0,1.0,0.0
bušiti,1.0,1.0,1.0,1.0
pet,112.0,5.13392857143,56.0,18.0
dete,1.0,5.0,0.0,0.0
mašeš,2.0,2.5,1.0,0.0
nikako,3.0,10.3333333333,1.0,0.0
pivicu,1.0,7.0,0.0,0.0
oprala,3.0,6.0,1.0,0.0
hlapić,1.0,7.0,1.0,0.0
poslikajte,1.0,3.0,0.0,0.0
časopis,6.0,4.5,6.0,1.0
svjetlo,12.0,8.08333333333,7.0,0.0
djed+mrazićek,1.0,1.0,1.0,1.0
darkića,1.0,2.0,1.0,0.0
obuče,16.0,5.875,8.0,0.0
pospremljen,1.0,8.0,0.0,0.0
narast,2.0,4.5,0.0,0.0
stoliću,1.0,7.0,1.0,0.0
pišu,3.0,6.0,2.0,0.0
sirićem,1.0,2.0,1.0,0.0
bebača,1.0,6.0,1.0,0.0
zaslađen,1.0,4.0,0.0,0.0
žici,3.0,14.6666666667,1.0,0.0
žica,12.0,4.66666666667,6.0,2.0
legao,2.0,14.0,0.0,0.0
žice,12.0,5.33333333333,6.0,0.0
cincu+marincu,2.0,5.0,1.0,0.0
pljunut,1.0,2.0,1.0,0.0
uvlačiš,1.0,4.0,0.0,0.0
žicu,11.0,7.63636363636,6.0,2.0
žnore,1.0,8.0,1.0,0.0
počele,1.0,6.0,0.0,0.0
doskakuta,2.0,3.5,2.0,0.0
stakla,3.0,6.66666666667,1.0,0.0
izbacila,1.0,4.0,0.0,0.0
parfem,1.0,4.0,1.0,0.0
uđite,1.0,11.0,0.0,0.0
brišemo,2.0,3.5,0.0,0.0
čajnik,1.0,10.0,1.0,0.0
mirjanicu,1.0,3.0,0.0,0.0
moguće,5.0,10.2,2.0,0.0
oo,13.0,2.92307692308,5.0,4.0
on,468.0,7.63888888889,26.0,0.0
piša,2.0,6.0,1.0,0.0
stanu,10.0,7.5,5.0,0.0
kupus,3.0,2.33333333333,3.0,1.0
oh,9.0,4.77777777778,2.0,1.0
grizemo,1.0,4.0,0.0,0.0
of,1.0,1.0,1.0,1.0
od,380.0,7.54210526316,5.0,1.0
oštećena,1.0,12.0,0.0,0.0
oa,1.0,1.0,1.0,1.0
brijegiću,1.0,6.0,0.0,0.0
stana,1.0,6.0,1.0,0.0
onog,17.0,7.64705882353,3.0,0.0
sjedila,3.0,7.33333333333,0.0,0.0
stane,13.0,6.38461538462,6.0,0.0
dlakica,1.0,7.0,0.0,0.0
stani,60.0,5.05,23.0,6.0
ov,1.0,1.0,1.0,1.0
ou,4.0,4.0,1.0,1.0
onom,17.0,8.05882352941,2.0,0.0
os,1.0,1.0,1.0,1.0
loptanja,2.0,6.0,1.0,1.0
op,146.0,2.56849315068,107.0,84.0
prometno,1.0,31.0,0.0,0.0
četiri,99.0,4.52525252525,49.0,26.0
sanjala,9.0,6.22222222222,6.0,1.0
dedov,1.0,6.0,0.0,0.0
gari,7.0,5.57142857143,3.0,1.0
peremo,8.0,7.125,1.0,0.0
nestane,1.0,9.0,0.0,0.0
grmlje,2.0,12.0,0.0,0.0
instrumenti,1.0,8.0,1.0,0.0
razbio,12.0,6.41666666667,5.0,0.0
razbil,1.0,4.0,1.0,0.0
odvezao,1.0,10.0,0.0,0.0
prometnu,1.0,5.0,0.0,0.0
zagrebački,2.0,4.0,1.0,0.0
dedom,15.0,7.93333333333,6.0,0.0
služe,1.0,7.0,0.0,0.0
bodljice,4.0,7.25,2.0,0.0
sviralica,1.0,3.0,1.0,0.0
smeće,86.0,5.53488372093,51.0,1.0
budu,19.0,7.10526315789,1.0,0.0
nekakva,15.0,7.73333333333,3.0,0.0
služi,3.0,9.0,0.0,0.0
hoću,57.0,4.50877192982,14.0,9.0
namjestio,3.0,8.33333333333,1.0,0.0
namjestit,2.0,6.0,1.0,0.0
bude,157.0,6.87261146497,7.0,1.0
budi,15.0,6.46666666667,1.0,0.0
pes,4.0,4.75,3.0,1.0
drvena,1.0,7.0,0.0,0.0
predugačke,1.0,3.0,0.0,0.0
nilskog,1.0,9.0,1.0,0.0
hoda,9.0,3.44444444444,4.0,2.0
probuditi,5.0,12.4,3.0,0.0
drveni,1.0,11.0,0.0,0.0
počni,1.0,5.0,0.0,0.0
snažan,8.0,5.875,4.0,0.0
šišati,3.0,6.0,2.0,0.0
priznat,1.0,6.0,1.0,0.0
drvenu,1.0,11.0,0.0,0.0
džipiću,2.0,2.5,1.0,0.0
pokrijem,2.0,4.0,2.0,0.0
njegov,22.0,7.54545454545,4.0,0.0
stalak,3.0,4.0,1.0,1.0
šutira,1.0,5.0,1.0,0.0
ispitivanje,1.0,6.0,1.0,0.0
pomoći,31.0,7.54838709677,17.0,0.0
olovku,34.0,6.26470588235,17.0,3.0
balončiće,1.0,9.0,1.0,0.0
kakiti,1.0,7.0,1.0,0.0
olovka,22.0,6.22727272727,11.0,2.0
zastora,1.0,5.0,1.0,0.0
olovke,9.0,6.0,4.0,0.0
onaj,166.0,8.62048192771,6.0,1.0
grofica,1.0,7.0,1.0,0.0
mazica,2.0,1.5,1.0,1.0
kamera,2.0,4.5,2.0,0.0
porazgovaramo,1.0,3.0,1.0,0.0
pljeskal,1.0,6.0,1.0,0.0
gospodin,6.0,3.5,2.0,0.0
prolazili,1.0,9.0,1.0,0.0
crvenkapicom,1.0,10.0,1.0,0.0
snjegiću,1.0,7.0,1.0,0.0
prolazila,3.0,11.6666666667,1.0,0.0
lopaticu,23.0,7.13043478261,7.0,0.0
gnjavaže,1.0,10.0,1.0,0.0
drugoga,2.0,4.0,2.0,0.0
provodili,1.0,10.0,0.0,0.0
kruh,19.0,4.42105263158,8.0,0.0
pobacala,1.0,15.0,0.0,0.0
vidjet,45.0,5.97777777778,12.0,0.0
balončići,1.0,3.0,0.0,0.0
miko,1.0,1.0,1.0,1.0
organizmu,2.0,2.0,1.0,0.0
sveučilište,1.0,56.0,0.0,0.0
dobrica,1.0,4.0,0.0,0.0
grupu,3.0,10.0,1.0,0.0
posao,29.0,6.68965517241,19.0,2.0
finale,2.0,4.0,1.0,0.0
pročitali,5.0,4.4,3.0,0.0
pažnje,1.0,5.0,1.0,0.0
pomirile,2.0,4.5,2.0,0.0
grupa,2.0,5.0,2.0,0.0
miki,42.0,5.2380952381,16.0,2.0
spravimo,1.0,5.0,0.0,0.0
pomirila,1.0,6.0,0.0,0.0
dajte,12.0,6.16666666667,1.0,0.0
zbrojiti,1.0,7.0,0.0,0.0
grupi,1.0,14.0,0.0,0.0
obavi,1.0,5.0,0.0,0.0
zabunila,1.0,6.0,0.0,0.0
vozači,1.0,9.0,0.0,0.0
hmm,876.0,1.97260273973,776.0,678.0
misas,1.0,6.0,0.0,0.0
vozača,2.0,10.5,0.0,0.0
boriš,2.0,5.5,1.0,0.0
marinca,3.0,4.33333333333,1.0,0.0
poklopi,2.0,1.5,2.0,1.0
misam,1.0,3.0,0.0,0.0
davala,1.0,8.0,0.0,0.0
izabrao,1.0,3.0,1.0,0.0
rezala,1.0,13.0,0.0,0.0
snagama,1.0,13.0,0.0,0.0
vatrogasna,1.0,12.0,0.0,0.0
donijela,57.0,6.82456140351,30.0,0.0
novcem,1.0,10.0,0.0,0.0
pti,2.0,2.5,2.0,1.0
ali,531.0,8.50847457627,18.0,1.0
alf,2.0,2.5,2.0,1.0
vatrogasni,6.0,10.5,2.0,0.0
pesek,26.0,5.03846153846,12.0,2.0
recitira,1.0,8.0,1.0,0.0
odozada,4.0,9.75,1.0,0.0
rok,12.0,2.66666666667,5.0,0.0
miško,22.0,3.18181818182,16.0,8.0
ostavimo,2.0,13.0,0.0,0.0
hmmm,8.0,1.75,5.0,5.0
kumu,1.0,15.0,0.0,0.0
sklisko,1.0,3.0,0.0,0.0
spremam,2.0,9.5,0.0,0.0
prljamo,2.0,9.5,0.0,0.0
mažeš,1.0,11.0,0.0,0.0
vazu,1.0,11.0,0.0,0.0
lupat,6.0,6.33333333333,1.0,0.0
lupam,1.0,5.0,1.0,0.0
kume,5.0,13.0,0.0,0.0
program,1.0,9.0,0.0,0.0
kuma,26.0,6.30769230769,6.0,2.0
lakirane,2.0,6.0,0.0,0.0
piuuu,1.0,9.0,0.0,0.0
plač,4.0,5.5,4.0,1.0
tornju,1.0,19.0,0.0,0.0
magarčića,5.0,5.0,2.0,0.0
ostal,2.0,6.5,1.0,0.0
željele,1.0,17.0,0.0,0.0
ostao,11.0,9.63636363636,2.0,0.0
guzici,1.0,14.0,0.0,0.0
ostat,3.0,7.0,0.0,0.0
tornja,1.0,18.0,0.0,0.0
zamotavaš,1.0,11.0,0.0,0.0
ovčica,6.0,5.0,2.0,0.0
dječji,2.0,7.0,1.0,0.0
ciha,2.0,1.0,2.0,2.0
prebrojati,1.0,5.0,0.0,0.0
list,1.0,10.0,1.0,0.0
kidati,1.0,22.0,0.0,0.0
krtičnjak,1.0,7.0,1.0,0.0
posljednja,1.0,1.0,1.0,1.0
pokosio,1.0,7.0,0.0,0.0
izvadilo,1.0,4.0,0.0,0.0
lisa,1.0,1.0,1.0,1.0
susjed,4.0,6.0,1.0,0.0
sviramo,1.0,3.0,0.0,0.0
izvadili,3.0,4.33333333333,3.0,0.0
tek,18.0,6.22222222222,6.0,0.0
ten,18.0,5.55555555556,4.0,0.0
zidaju,1.0,2.0,0.0,0.0
tea,8.0,5.375,4.0,0.0
komar,1.0,3.0,0.0,0.0
napadam,1.0,5.0,0.0,0.0
jagoda,7.0,2.14285714286,6.0,4.0
gospođi,1.0,9.0,0.0,0.0
gospođo,3.0,3.33333333333,3.0,0.0
jagode,9.0,2.66666666667,6.0,3.0
jagodi,2.0,3.0,2.0,0.0
trke,1.0,2.0,1.0,0.0
komad,1.0,6.0,1.0,0.0
naredi,2.0,11.0,0.0,0.0
skvrčio,1.0,11.0,1.0,0.0
oče,1.0,1.0,1.0,1.0
dojadi,1.0,6.0,0.0,0.0
sprčkao,1.0,7.0,1.0,0.0
lopatom,1.0,7.0,1.0,0.0
šarena,2.0,4.0,2.0,0.0
šarene,1.0,1.0,1.0,1.0
početi,1.0,8.0,0.0,0.0
suh,4.0,2.0,1.0,1.0
ptići,1.0,5.0,0.0,0.0
prestrašila,2.0,4.0,2.0,0.0
pilić,16.0,5.875,5.0,0.0
sup,2.0,2.5,2.0,1.0
vjenčali,3.0,15.6666666667,0.0,0.0
neno,11.0,5.0,4.0,0.0
šestinski,1.0,3.0,0.0,0.0
mirja,1.0,1.0,1.0,1.0
bismo,12.0,8.91666666667,0.0,0.0
izgubiš,1.0,7.0,1.0,0.0
primjer,1.0,16.0,0.0,0.0
tisuću,11.0,7.36363636364,0.0,0.0
sjedi,57.0,5.47368421053,13.0,3.0
pink+panter,1.0,1.0,1.0,1.0
hvataju,2.0,14.5,0.0,0.0
džipa,2.0,6.0,2.0,0.0
svjestan,1.0,5.0,0.0,0.0
navršio,1.0,11.0,0.0,0.0
majici,1.0,14.0,0.0,0.0
štapiće,10.0,4.1,4.0,2.0
koncem,1.0,7.0,0.0,0.0
glupo,1.0,4.0,0.0,0.0
štapića,9.0,4.88888888889,3.0,0.0
ubacio,1.0,6.0,0.0,0.0
glupa,1.0,6.0,0.0,0.0
medvjedić,1.0,4.0,0.0,0.0
komadiće,2.0,5.5,0.0,0.0
vilina,1.0,13.0,0.0,0.0
pogle,5.0,4.0,2.0,2.0
leći,3.0,5.0,0.0,0.0
čistog,1.0,9.0,0.0,0.0
frajer,1.0,6.0,1.0,0.0
glupirat,1.0,5.0,0.0,0.0
slična,1.0,13.0,0.0,0.0
bžžž,1.0,31.0,0.0,0.0
smao,1.0,3.0,0.0,0.0
parizu,4.0,5.25,3.0,0.0
pokaže,7.0,5.85714285714,3.0,0.0
pokaži,158.0,5.55063291139,32.0,5.0
škare,3.0,4.33333333333,1.0,1.0
zrak,12.0,4.91666666667,9.0,0.0
narančasta,7.0,2.57142857143,5.0,3.0
mekoj,1.0,15.0,0.0,0.0
imati,24.0,8.66666666667,5.0,0.0
lupaš,9.0,6.55555555556,4.0,0.0
izumrli,1.0,4.0,1.0,0.0
vitice,1.0,3.0,0.0,0.0
miro,5.0,4.0,2.0,0.0
vitica,3.0,2.33333333333,2.0,1.0
pežo,3.0,10.3333333333,0.0,0.0
glas,12.0,7.0,9.0,0.0
mahni,5.0,2.6,0.0,0.0
mira,2.0,7.5,2.0,0.0
jukeboxu,1.0,6.0,1.0,0.0
miru,15.0,7.4,9.0,0.0
prošlog,1.0,15.0,0.0,0.0
nožica,1.0,4.0,1.0,0.0
nožice,8.0,8.375,4.0,2.0
nabavi,1.0,5.0,0.0,0.0
nožici,1.0,6.0,0.0,0.0
rasklima,1.0,7.0,0.0,0.0
ljubicu,1.0,2.0,1.0,0.0
pazuha,1.0,6.0,1.0,0.0
nožicu,3.0,6.66666666667,0.0,0.0
v,1.0,4.0,1.0,0.0
toplom,1.0,12.0,0.0,0.0
grančici,1.0,3.0,1.0,0.0
ledom,2.0,2.5,2.0,0.0
renati,4.0,11.75,1.0,0.0
renate,2.0,2.5,2.0,0.0
renata,20.0,6.3,6.0,1.0
