WORD,BFRQ,CNC,FAM,IMG,NPHN,NSYL
FROG,,619,507,617,4,1
FULL,27,378,594,437,3,1
GAME,9,477,574,521,,1
GARAGE,1,,,,,2
GARBAGE,7,572,554,596,,2
GARDEN,14,602,567,635,,2
GENTLE,2,322,570,422,,1
GENTLE,2,322,570,422,5,2
GET,551,290,604,264,3,1
GIRAFFE,,,381,,5,2
GIRL,44,607,645,634,3,1
GIVE,102,326,595,383,3,1
GLASS,18,635,611,585,4,1
GLASSES,20,,,,,
GLOVES,4,,,,,
GLUE,,,,,3,1
GO,435,337,618,364,2,1
GONNA,,,,,,
GOOD,394,297,621,374,3,1
GOOSE,,,,,3,1
GOTTA,1,,,,,
GRANDMA,,,,,6,2
GRANDPA,,,,,6,2
GRAPES,7,,,,,
GRASS,,599,587,602,4,1
GREEN,9,460,583,609,4,1
GUM,,,,,3,1
HAIR,11,583,575,580,2,1
HAMBURGER,,,,,7,3
HAMMER,2,605,515,618,4,2
HAND,42,604,601,598,4,1
HAPPY,32,355,621,511,4,2
HARD,32,425,595,460,,1
HAT,3,601,580,562,3,1
HATE,9,335,552,462,3,1
HAVE,1365,251,597,271,3,1
HE,1464,399,604,452,2,1
HEAD,45,603,611,593,3,1
HEAR,34,394,602,425,2,1
HEAVY,7,413,581,495,4,2
HELICOPTER,,,,,9,4
HELLO,16,,,,4,2
HELP,43,320,594,464,4,1
HEN,,631,461,597,3,1
HER,255,419,569,464,2,1
HERE,216,285,599,278,2,1
HERS,2,,,,3,1
HI,,,,,2,1
HIDE,2,451,515,430,3,1
HIGH,29,371,612,463,2,1
HIM,362,368,613,421,3,1
HIS,354,320,614,337,3,1
HIT,10,,,,3,1
HOLD,18,416,596,416,4,1
HOME,81,539,626,599,3,1
HORSE,1,613,560,624,3,1
HOSE,,596,449,572,3,1
HOT,7,507,607,551,3,1
HOUSE,57,608,600,606,3,1
HOW,329,195,593,230,2,1
HUG,,,,,3,1
HUNGRY,1,439,591,503,6,2
HURRY,4,,,,4,2
HURT,4,368,579,465,3,1
I,6797,483,628,465,1,1
ICE,,621,564,635,2,1
IF,757,204,607,228,2,1
IN,3123,278,616,334,2,1
INTO,217,306,584,259,4,2
IS,2100,223,627,230,2,1
IT,3653,271,625,265,2,1
JACKET,,635,596,611,5,2
JAR,,595,564,571,2,1
JEANS,,,,,4,1
JELLY,,560,521,590,4,2
JUICE,,599,567,593,3,1
JUMP,,449,551,506,4,1
KEYS,5,,,,,1
KICK,3,485,563,551,3,1
KISS,,564,592,633,3,1
KITCHEN,9,,,,6,2
KITTY,,,,,,2
KNEE,1,593,599,597,2,1
KNIFE,1,612,573,633,3,1
KNOCK,2,,,,3,1
LADDER,2,,507,,4,2
LADY,9,564,573,571,4,2
LAMB,,633,519,614,3,1
LAMP,,615,578,575,4,1
LAST,184,299,587,367,4,1
LATER,33,,,,,2
LEG,,626,589,601,3,1
LICK,,,,,3,1
LIGHT,12,550,575,542,3,1
LIKE,600,286,610,352,3,1
LION,,627,511,626,,1
LION,,627,511,626,4,2
LIPS,1,,,,,
LISTEN,13,408,543,378,4,2
LITTLE,193,378,594,502,,1
LITTLE,193,378,594,502,4,2
LOLLIPOP,,,,,7,3
LONG,135,381,579,471,3,1
LOOK,156,376,607,395,3,1
LOUD,3,413,577,448,3,1
LOVE,26,311,619,569,3,1
LUNCH,28,552,616,602,5,1
MAD,16,308,590,479,3,1
MAILMAN,,,,,,
MAKE,147,299,618,322,3,1
MAN,138,618,623,567,3,1
ME,528,511,607,430,2,1
MEAT,2,587,589,618,3,1
MEDICINE,21,517,547,551,,3
MEDICINE,21,517,547,551,6,2
MELON,,,441,,5,2
MILK,12,670,588,638,4,1
