"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"nouns","food_drink","pudding",,,"pudding",,,,,,,"muhallebi"
"nouns","food_drink","pumpkin",,,"pumpkin",,,,"тыква",,,
"nouns","food_drink","quesadilla",,,,,,,,"quesdil",,
"nouns","food_drink","raisin",,"raisin","raisin","צימוקים","rosiner",,"изюм",,"russin",
"nouns","food_drink","raspberry",,,,,,,"малина",,,
"nouns","food_drink","rice",,,,"אורז",,,"рис","arroz","ris","pilav"
"nouns","food_drink","salt",,,"salt",,,,"соль",,,
"nouns","food_drink","sandwich",,,"sandwich",,,,,,"macka",
"nouns","food_drink","sauce",,,"sauce",,,,,,,
"nouns","food_drink","sausage",,,,,,,"колбаса",,,
"nouns","food_drink","schnitzel",,,,"שניצל",,,,,,
"nouns","food_drink","semolina","griz",,,,,,,,,
"nouns","food_drink","soda",,,,,,,,"soda",,"kola"
"nouns","food_drink","soda/pop",,,"soda/pop",,,,,,,
"nouns","food_drink","soup",,,"soup",,,"суп","суп",,,"tarhana"
"nouns","food_drink","sour cream",,,,,,,"сметана",,,
"nouns","food_drink","spaghetti","tijesto","spaghetti","spaghetti","ספגטי","spagetti",,,,"spagetti","makarna"
"nouns","food_drink","spinach","špinat",,,,,,,,,
"nouns","food_drink","strawberry",,,"strawberry",,,,,,,
"nouns","food_drink","sugar",,,,,,,"сахар",,,
"nouns","food_drink","tahini",,,,"טחינה",,,,,,
"nouns","food_drink","tangerine",,,,,,,"мандарин",,,
"nouns","food_drink","tea",,,,"תה ",,"чай","чай",,,
"nouns","food_drink","toast",,"toast","toast","טוסט",,,,,,"tost"
"nouns","food_drink","tomato",,,,"עגבניה",,"помидор","помидор",,,"domates"
"nouns","food_drink","tortilla",,,,,,,,"tortila",,
"nouns","food_drink","tuna",,,"tuna",,,,,,,
"nouns","food_drink","vanilla",,,"vanilla",,,,,,,
"nouns","food_drink","vitamins",,,"vitamins",,,,"витамины",,,
"nouns","food_drink","wafer",,,,"ופלה",,,,,,
"nouns","food_drink","water (beverage)","voda","water (beverage)","water (beverage)","מים ","vann","вода","вода","agua","vatten","su"
"nouns","food_drink","watermelon",,,,"אבטיח",,,"арбуз",,,"karpuz"
"nouns","food_drink","yogurt","jogurt",,"yogurt",,,"йогурт","йогурт",,,"yoğurt"
"nouns","food_drink","yogurt drink",,,,,,,,,,"ayran"
